,income_total_count,census_tract,less_than_10000_percentage_total,10000_to_14999_percentage_total,15000_to_19999_percentage_total,20000_to_24999_percentage_total,25000_to_29999_percentage_total,30000_to_34999_percentage_total,35000_to_39999_percentage_total,40000_to_44999_percentage_total,45000_to_49999_percentage_total,50000_to_59999_percentage_total,60000_to_74999_percentage_total,75000_to_99999_percentage_total,100000_to_124999_percentage_total,125000_to_149999_percentage_total,150000_to_199999_percentage_total,200000_or_more_percentage_total
"Census Tract 83.55, Adams County, Colorado!!Estimate","1,748",08001008355,0.020594965675057208,0.010297482837528604,0.004576659038901602,0.13729977116704806,0.06064073226544622,0.039473684210526314,0.020594965675057208,0.043478260869565216,0.04576659038901602,0.08409610983981694,0.14988558352402745,0.17048054919908467,0.08695652173913043,0.04633867276887872,0.06521739130434782,0.014302059496567507
"Census Tract 84.01, Adams County, Colorado!!Estimate","1,883",08001008401,0.032926181625066386,0.040892193308550186,0.0323951141795008,0.08178438661710037,0.016994158258098777,0.03027084439723845,0.02973977695167286,0.03027084439723845,0.043016463090812536,0.10993096123207648,0.07541157727031333,0.11895910780669144,0.13117365905469994,0.06797663303239511,0.0844397238449283,0.07381837493361657
"Census Tract 84.02, Adams County, Colorado!!Estimate","1,546",08001008402,0.00258732212160414,0.014877102199223804,0.0038809831824062097,0.021345407503234153,0.02910737386804657,0.007761966364812419,0.017464424320827943,0.02910737386804657,0.02199223803363519,0.11384217335058215,0.06727037516170763,0.21216041397153945,0.1630012936610608,0.12677878395860284,0.12483829236739974,0.04398447606727038
"Census Tract 85.05, Adams County, Colorado!!Estimate","2,214",08001008505,0.03071364046973803,0.036133694670280034,0.008581752484191508,0.023035230352303523,0.03297199638663053,0.014453477868112014,0.04110207768744354,0.03974706413730804,0.022131887985546522,0.13866305329719963,0.06684733514001806,0.2073170731707317,0.14272809394760613,0.14092140921409213,0.03884372177055104,0.015808491418247517
"Census Tract 85.06, Adams County, Colorado!!Estimate","2,726",08001008506,0.07263389581804842,0.03888481291269259,0.028613352898019074,0.10601614086573734,0.05355832721936904,0.13609684519442405,0.05062362435803375,0.04292002934702861,0.04035216434336023,0.0847395451210565,0.09757887013939838,0.07703595011005136,0.10418195157740279,0.02971386647101981,0.016507703595011004,0.020542920029347028
"Census Tract 85.07, Adams County, Colorado!!Estimate","2,003",08001008507,0.00998502246630055,0.008487269096355467,0.0,0.038442336495257114,0.024463305042436344,0.0309535696455317,0.025961058412381426,0.03344982526210684,0.00798801797304044,0.06590114827758363,0.10134797803295058,0.20668996505242138,0.30054917623564653,0.04992511233150274,0.06789815277084374,0.027958062905641536
"Census Tract 85.08, Adams County, Colorado!!Estimate","1,832",08001008508,0.03111353711790393,0.015829694323144104,0.015283842794759825,0.04148471615720524,0.03766375545851528,0.0927947598253275,0.026746724890829694,0.0611353711790393,0.02292576419213974,0.08624454148471616,0.1009825327510917,0.0982532751091703,0.1572052401746725,0.07423580786026202,0.08897379912663755,0.04912663755458515
"Census Tract 85.24, Adams County, Colorado!!Estimate","2,826",08001008524,0.019462137296532202,0.0,0.0,0.004246284501061571,0.025477707006369428,0.010261854210898797,0.008492569002123142,0.022292993630573247,0.0046001415428167025,0.0399858457183298,0.06086341118188252,0.16631280962491155,0.1464968152866242,0.1408351026185421,0.23885350318471338,0.11181882519462137
"Census Tract 85.26, Adams County, Colorado!!Estimate","2,628",08001008526,0.04299847792998478,0.014079147640791476,0.021689497716894976,0.007990867579908675,0.018645357686453576,0.021689497716894976,0.02207001522070015,0.0167427701674277,0.05136986301369863,0.03614916286149163,0.07496194824961948,0.20471841704718416,0.09779299847792998,0.1430745814307458,0.1251902587519026,0.10083713850837138
"Census Tract 85.33, Adams County, Colorado!!Estimate","3,078",08001008533,0.0198180636777128,0.0,0.036387264457439894,0.005198180636777128,0.02794022092267706,0.02014294996751137,0.021767381416504222,0.016894087069525665,0.07244964262508122,0.08999350227420402,0.2345679012345679,0.2179987004548408,0.10006497725795971,0.044509421702404156,0.07439896036387264,0.017868745938921377
"Census Tract 85.34, Adams County, Colorado!!Estimate","1,424",08001008534,0.0175561797752809,0.0,0.010533707865168539,0.02247191011235955,0.0035112359550561797,0.037219101123595506,0.014044943820224719,0.0035112359550561797,0.007022471910112359,0.06741573033707865,0.12991573033707865,0.26615168539325845,0.12429775280898876,0.13834269662921347,0.10674157303370786,0.051264044943820225
"Census Tract 85.35, Adams County, Colorado!!Estimate","1,294",08001008535,0.06568778979907264,0.0,0.0,0.010819165378670788,0.005409582689335394,0.00927357032457496,0.010046367851622875,0.03632148377125193,0.03863987635239567,0.05255023183925812,0.16924265842349304,0.12364760432766615,0.24652241112828438,0.13601236476043277,0.08809891808346214,0.0077279752704791345
"Census Tract 85.36, Adams County, Colorado!!Estimate","1,134",08001008536,0.04144620811287478,0.0,0.005291005291005291,0.0,0.02292768959435626,0.0,0.006172839506172839,0.013227513227513227,0.003527336860670194,0.01763668430335097,0.10141093474426807,0.15520282186948853,0.15608465608465608,0.19135802469135801,0.13139329805996472,0.15432098765432098
"Census Tract 85.38, Adams County, Colorado!!Estimate","2,493",08001008538,0.0,0.0,0.012835940633774568,0.007220216606498195,0.005214600882470918,0.026875250701965503,0.017248295226634576,0.013237063778580024,0.018451664661050943,0.019253910950661854,0.04251905334937826,0.10188527878058563,0.19574809466506218,0.19935820296831128,0.19414360208584036,0.14600882470918572
"Census Tract 85.40, Adams County, Colorado!!Estimate","2,635",08001008540,0.003795066413662239,0.004933586337760911,0.0,0.007969639468690701,0.013282732447817837,0.004933586337760911,0.011005692599620493,0.03984819734345351,0.012144212523719165,0.029981024667931688,0.07741935483870968,0.1874762808349146,0.14876660341555978,0.13130929791271348,0.19089184060721062,0.13624288425047437
"Census Tract 85.44, Adams County, Colorado!!Estimate","1,719",08001008544,0.0,0.030250145433391506,0.0,0.031413612565445025,0.010471204188481676,0.004072134962187318,0.027923211169284468,0.025596276905177427,0.008726003490401396,0.03781268179173938,0.0564281559045957,0.10587550901687028,0.16463059918557302,0.1273996509598604,0.15997673065735893,0.2094240837696335
"Census Tract 85.45, Adams County, Colorado!!Estimate","2,197",08001008545,0.0036413290851160674,0.012289485662266727,0.0,0.010468821119708694,0.015475648611743286,0.026854802002730997,0.045061447428311335,0.018206645425580335,0.027765134274010013,0.020937642239417388,0.05097860719162494,0.1679563040509786,0.17888029130632682,0.1561219845243514,0.1615839781520255,0.10377787892580792
"Census Tract 85.46, Adams County, Colorado!!Estimate","1,553",08001008546,0.0025756600128783,0.0070830650354153256,0.03992273019961365,0.004507405022537025,0.028332260141661302,0.0,0.0,0.04571796522858983,0.014166130070830651,0.05280103026400515,0.1519639407598197,0.28139085640695427,0.13071474565357372,0.12491951062459755,0.04507405022537025,0.07083065035415326
"Census Tract 85.47, Adams County, Colorado!!Estimate","1,089",08001008547,0.027548209366391185,0.0,0.01652892561983471,0.0,0.010101010101010102,0.030303030303030304,0.008264462809917356,0.015610651974288337,0.02203856749311295,0.06795224977043159,0.14416896235078053,0.2369146005509642,0.1919191919191919,0.05325987144168962,0.04499540863177227,0.13039485766758493
"Census Tract 85.48, Adams County, Colorado!!Estimate",576,08001008548,0.010416666666666666,0.027777777777777776,0.06944444444444445,0.006944444444444444,0.017361111111111112,0.03993055555555555,0.0,0.0,0.0625,0.043402777777777776,0.1267361111111111,0.11284722222222222,0.1267361111111111,0.1371527777777778,0.13368055555555555,0.08506944444444445
"Census Tract 85.49, Adams County, Colorado!!Estimate","1,148",08001008549,0.05836236933797909,0.0078397212543554,0.002613240418118467,0.006097560975609756,0.02003484320557491,0.03484320557491289,0.013937282229965157,0.040940766550522645,0.01132404181184669,0.02700348432055749,0.09320557491289198,0.15418118466898956,0.24912891986062718,0.13501742160278746,0.041811846689895474,0.10365853658536585
"Census Tract 85.50, Adams County, Colorado!!Estimate","2,611",08001008550,0.02719264649559556,0.0,0.021447721179624665,0.005361930294906166,0.010723860589812333,0.015702795863653772,0.026426656453466105,0.03906549214860207,0.008425890463423975,0.03753351206434316,0.10608962083492915,0.2661815396399847,0.17732669475296822,0.0746840291076216,0.1478360781309843,0.03600153198008426
"Census Tract 85.51, Adams County, Colorado!!Estimate",533,08001008551,0.009380863039399626,0.0225140712945591,0.0150093808630394,0.0,0.0,0.009380863039399626,0.0,0.0,0.01876172607879925,0.03377110694183865,0.039399624765478425,0.08630393996247655,0.14071294559099437,0.08630393996247655,0.3883677298311445,0.150093808630394
"Census Tract 85.52, Adams County, Colorado!!Estimate","1,367",08001008552,0.026335040234089245,0.010241404535479151,0.04169714703730797,0.012435991221653255,0.008046817849305048,0.0,0.04901243599122165,0.018288222384784197,0.08412582297000731,0.08266276517922458,0.09729334308705194,0.19824433065106073,0.14703730797366496,0.10314557425018288,0.08046817849305048,0.040965618141916606
"Census Tract 85.53, Adams County, Colorado!!Estimate","1,616",08001008553,0.0,0.026608910891089108,0.0,0.0,0.023514851485148515,0.012376237623762377,0.03712871287128713,0.006806930693069307,0.011138613861386138,0.03650990099009901,0.04084158415841584,0.12747524752475248,0.14294554455445543,0.21905940594059406,0.2004950495049505,0.1150990099009901
"Census Tract 85.54, Adams County, Colorado!!Estimate","1,007",08001008554,0.0,0.03475670307845084,0.00893743793445879,0.018867924528301886,0.0,0.0,0.007944389275074478,0.11916583912611718,0.03475670307845084,0.13505461767626614,0.09632571996027806,0.13505461767626614,0.1916583912611718,0.12810327706057598,0.03277060575968222,0.05660377358490566
"Census Tract 85.55, Adams County, Colorado!!Estimate","2,234",08001008555,0.03312444046553268,0.03222918531781558,0.0,0.03446732318710832,0.019247985675917637,0.0729632945389436,0.049686660698299016,0.020143240823634737,0.023276633840644583,0.18800358102059087,0.11727842435094002,0.24350940017905104,0.07878245299910475,0.05863921217547001,0.017905102954341987,0.010743061772605193
"Census Tract 85.56, Adams County, Colorado!!Estimate","2,089",08001008556,0.0,0.0057443752991862135,0.013882240306366683,0.03303015797032073,0.006223073240785065,0.022498803255146003,0.015318334131163236,0.0009573958831977022,0.030636668262326472,0.0823360459550024,0.08042125418860699,0.28147438966012445,0.13882240306366683,0.10244135950215415,0.14839636189564384,0.03781713738630924
"Census Tract 85.57, Adams County, Colorado!!Estimate",197,08001008557,0.0,0.0,0.0,0.0,0.05583756345177665,0.0,0.0,0.04568527918781726,0.04568527918781726,0.0,0.1065989847715736,0.0,0.25888324873096447,0.12690355329949238,0.07614213197969544,0.28426395939086296
"Census Tract 85.58, Adams County, Colorado!!Estimate","1,028",08001008558,0.0311284046692607,0.02821011673151751,0.0,0.01556420233463035,0.0,0.0,0.0,0.0,0.0,0.0,0.06031128404669261,0.04571984435797665,0.3443579766536965,0.29669260700389105,0.0632295719844358,0.11478599221789883
