,census_tract,population_25_and_over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,estimate_total_age_by_educational_attainment_population_25_years_and_over_less_than_9th_grade_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_9th_to_12th_grade_no_diploma_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_(includes_equivalency)_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_some_college_no_degree_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_associate's_degree_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_bachelor's_degree_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_graduate_or_professional_degree_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_or_higher_percentage_total,estimate_total_age_by_educational_attainment_population_25_years_and_over_bachelor's_degree_or_higher_percentage_total
555,08059012030,2852,10,26,394,498,172,1127,625,2816,1752,0.0035063113604488078,0.0091164095371669,0.13814866760168304,0.17461430575035064,0.06030855539971949,0.3951612903225806,0.2191444600280505,0.9873772791023843,0.6143057503506312
556,08059012031,2808,0,47,342,615,264,978,562,2761,1540,0.0,0.01673789173789174,0.12179487179487179,0.21901709401709402,0.09401709401709402,0.3482905982905983,0.20014245014245013,0.9832621082621082,0.5484330484330484
557,08059012032,2174,0,0,260,414,232,815,453,2174,1268,0.0,0.0,0.11959521619135234,0.19043238270469182,0.10671573137074516,0.374885004599816,0.20837166513339467,1.0,0.5832566697332107
558,08059012033,2075,30,48,321,343,156,772,405,1997,1177,0.014457831325301205,0.02313253012048193,0.15469879518072288,0.1653012048192771,0.07518072289156627,0.37204819277108436,0.19518072289156627,0.9624096385542169,0.5672289156626507
559,08059012034,2906,10,14,187,316,193,1125,1061,2882,2186,0.0034411562284927736,0.004817618719889883,0.06434962147281487,0.10874053682037164,0.06641431520991053,0.387130075705437,0.36510667584308326,0.9917412250516173,0.7522367515485203
560,08059012035,3423,0,0,95,252,246,1687,1143,3423,2830,0.0,0.0,0.02775343266140812,0.0736196319018405,0.07186678352322524,0.49284253578732107,0.3339176161262051,1.0,0.8267601519135261
561,08059012036,2647,0,26,253,428,180,1158,602,2621,1760,0.0,0.009822440498677748,0.09557990177559501,0.1616924820551568,0.0680015111446921,0.4374763883641859,0.22742727616169248,0.9901775595013222,0.6649036645258783
562,08059012037,3183,28,75,574,600,245,999,662,3080,1661,0.008796732642161484,0.0235626767200754,0.1803330191643104,0.1885014137606032,0.07697141061891298,0.31385485391140433,0.2079798931825322,0.9676405906377631,0.5218347470939365
563,08059012038,2621,0,113,720,618,156,715,299,2508,1014,0.0,0.04311331552842427,0.2747043113315528,0.23578786722624953,0.059519267455169785,0.2727966425028615,0.11407859595574209,0.9568866844715758,0.3868752384586036
564,08059012039,3965,0,206,969,868,352,935,635,3759,1570,0.0,0.051954602774274904,0.24438839848675914,0.2189155107187894,0.08877679697351828,0.23581336696090793,0.1601513240857503,0.9480453972257251,0.39596469104665827
