"GEO_ID","NAME","B25024_001E","B25024_001EA","B25024_001M","B25024_001MA","B25024_002E","B25024_002EA","B25024_002M","B25024_002MA","B25024_003E","B25024_003M","B25024_003MA","B25024_003EA","B25024_004E","B25024_004M","B25024_004MA","B25024_004EA","B25024_005E","B25024_005EA","B25024_005M","B25024_005MA","B25024_006E","B25024_006EA","B25024_006M","B25024_006MA","B25024_007E","B25024_007M","B25024_007MA","B25024_007EA","B25024_008E","B25024_008M","B25024_008MA","B25024_008EA","B25024_009E","B25024_009M","B25024_009MA","B25024_009EA","B25024_010E","B25024_010EA","B25024_010M","B25024_010MA","B25024_011E","B25024_011EA","B25024_011M","B25024_011MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!1, detached","Annotation of Estimate!!Total:!!1, detached","Margin of Error!!Total:!!1, detached","Annotation of Margin of Error!!Total:!!1, detached","Estimate!!Total:!!1, attached","Margin of Error!!Total:!!1, attached","Annotation of Margin of Error!!Total:!!1, attached","Annotation of Estimate!!Total:!!1, attached","Estimate!!Total:!!2","Margin of Error!!Total:!!2","Annotation of Margin of Error!!Total:!!2","Annotation of Estimate!!Total:!!2","Estimate!!Total:!!3 or 4","Annotation of Estimate!!Total:!!3 or 4","Margin of Error!!Total:!!3 or 4","Annotation of Margin of Error!!Total:!!3 or 4","Estimate!!Total:!!5 to 9","Annotation of Estimate!!Total:!!5 to 9","Margin of Error!!Total:!!5 to 9","Annotation of Margin of Error!!Total:!!5 to 9","Estimate!!Total:!!10 to 19","Margin of Error!!Total:!!10 to 19","Annotation of Margin of Error!!Total:!!10 to 19","Annotation of Estimate!!Total:!!10 to 19","Estimate!!Total:!!20 to 49","Margin of Error!!Total:!!20 to 49","Annotation of Margin of Error!!Total:!!20 to 49","Annotation of Estimate!!Total:!!20 to 49","Estimate!!Total:!!50 or more","Margin of Error!!Total:!!50 or more","Annotation of Margin of Error!!Total:!!50 or more","Annotation of Estimate!!Total:!!50 or more","Estimate!!Total:!!Mobile home","Annotation of Estimate!!Total:!!Mobile home","Margin of Error!!Total:!!Mobile home","Annotation of Margin of Error!!Total:!!Mobile home","Estimate!!Total:!!Boat, RV, van, etc.","Annotation of Estimate!!Total:!!Boat, RV, van, etc.","Margin of Error!!Total:!!Boat, RV, van, etc.","Annotation of Margin of Error!!Total:!!Boat, RV, van, etc.",
"1400000US08059010701","Census Tract 107.01, Jefferson County, Colorado","2491","null","319","null","1124","null","234","null","458","287","null","null","63","59","null","null","39","null","43","null","87","null","68","null","267","170","null","null","256","144","null","null","197","83","null","null","0","null","18","null","0","null","18","null",
"1400000US08059010702","Census Tract 107.02, Jefferson County, Colorado","2567","null","231","null","1065","null","182","null","147","143","null","null","138","120","null","null","185","null","117","null","369","null","146","null","482","192","null","null","132","109","null","null","49","58","null","null","0","null","13","null","0","null","13","null",
"1400000US08059010801","Census Tract 108.01, Jefferson County, Colorado","1182","null","136","null","948","null","141","null","52","34","null","null","0","13","null","null","0","null","13","null","24","null","28","null","36","37","null","null","51","37","null","null","71","69","null","null","0","null","13","null","0","null","13","null",
"1400000US08059010901","Census Tract 109.01, Jefferson County, Colorado","2267","null","285","null","1472","null","302","null","339","123","null","null","42","67","null","null","29","null","38","null","84","null","133","null","74","69","null","null","0","18","null","null","145","88","null","null","82","null","96","null","0","null","18","null",
"1400000US08059010902","Census Tract 109.02, Jefferson County, Colorado","1273","null","152","null","330","null","87","null","98","63","null","null","11","24","null","null","151","null","74","null","474","null","124","null","9","12","null","null","0","13","null","null","200","97","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011000","Census Tract 110, Jefferson County, Colorado","2359","null","254","null","1371","null","193","null","221","209","null","null","63","78","null","null","60","null","47","null","132","null","93","null","219","113","null","null","226","119","null","null","67","64","null","null","0","null","18","null","0","null","18","null",
"1400000US08059011101","Census Tract 111.01, Jefferson County, Colorado","1566","null","162","null","921","null","146","null","129","77","null","null","0","13","null","null","59","null","27","null","64","null","83","null","184","91","null","null","178","88","null","null","31","33","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011102","Census Tract 111.02, Jefferson County, Colorado","1625","null","180","null","319","null","142","null","278","129","null","null","15","26","null","null","15","null","25","null","279","null","132","null","298","160","null","null","342","190","null","null","63","52","null","null","16","null","26","null","0","null","13","null",
"1400000US08059011202","Census Tract 112.02, Jefferson County, Colorado","1803","null","191","null","1394","null","159","null","154","74","null","null","88","56","null","null","52","null","42","null","86","null","81","null","29","28","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null",
"1400000US08059011300","Census Tract 113, Jefferson County, Colorado","1412","null","192","null","1071","null","176","null","43","37","null","null","128","62","null","null","30","null","35","null","35","null","39","null","7","12","null","null","8","15","null","null","90","48","null","null","0","null","13","null","0","null","13","null",
