census_tract,less_than_10000_standardized,10000_to_14999_standardized,15000_to_19999_standardized,20000_to_24999_standardized,25000_to_29999_standardized,30000_to_34999_standardized,35000_to_39999_standardized,40000_to_44999_standardized,45000_to_49999_standardized,50000_to_59999_standardized,60000_to_74999_standardized,75000_to_99999_standardized,100000_to_124999_standardized,125000_to_149999_standardized,150000_to_199999_standardized,200000_or_more_standardized,white_alone_standardized,black_or_african_american_alone_standardized,american_indian_and_alaska_native_alone_standardized,asian_alone_standardized,native_hawaiian_and_other_pacific_islander_alone_standardized,some_other_race_alone_standardized,owner_occupied_standardized,renter_occupied_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_less_than_9th_grade_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_9th_to_12th_grade_no_diploma_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_(includes_equivalency)_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_some_college_no_degree_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_associate's_degree_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_bachelor's_degree_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_graduate_or_professional_degree_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_or_higher_standardized,estimate_total_age_by_educational_attainment_population_25_years_and_over_bachelor's_degree_or_higher_standardized,estimate_total_total_population_selected_age_categories_5_to_14_years_standardized,estimate_total_total_population_selected_age_categories_15_to_17_years_standardized,estimate_total_total_population_selected_age_categories_under_18_years_standardized,estimate_total_total_population_selected_age_categories_18_to_24_years_standardized,estimate_total_total_population_selected_age_categories_15_to_44_years_standardized,estimate_total_total_population_selected_age_categories_16_years_and_over_standardized,estimate_total_total_population_selected_age_categories_18_years_and_over_standardized,estimate_total_total_population_selected_age_categories_21_years_and_over_standardized,estimate_total_total_population_selected_age_categories_60_years_and_over_standardized,estimate_total_total_population_selected_age_categories_62_years_and_over_standardized,estimate_total_total_population_selected_age_categories_65_years_and_over_standardized,estimate_total_total_population_selected_age_categories_75_years_and_over_standardized,estimate_total_1_detached_standardized,estimate_total_1_attached_standardized,estimate_total_2_standardized,estimate_total_3_or_4_standardized,estimate_total_5_to_9_standardized,estimate_total_10_to_19_standardized,estimate_total_20_to_49_standardized,estimate_total_50_or_more_standardized,estimate_with_a_disability_total_civilian_noninstitutionalized_population_disability_type_by_detailed_age_with_a_hearing_difficulty_standardized,estimate_with_a_disability_total_civilian_noninstitutionalized_population_disability_type_by_detailed_age_with_a_vision_difficulty_standardized,estimate_with_a_disability_total_civilian_noninstitutionalized_population_disability_type_by_detailed_age_with_a_cognitive_difficulty_standardized,estimate_with_a_disability_total_civilian_noninstitutionalized_population_disability_type_by_detailed_age_with_an_ambulatory_difficulty_standardized,estimate_with_a_disability_total_civilian_noninstitutionalized_population_disability_type_by_detailed_age_with_a_self-care_difficulty_standardized,estimate_with_a_disability_total_civilian_noninstitutionalized_population_disability_type_by_detailed_age_with_an_independent_living_difficulty_standardized
08001007801,0.3841802405632193,0.25729755091937506,0.5891980360065466,0.20621931260229132,0.3961945650197269,0.2801076088180921,0.48274066359172746,0.5145716508813823,0.2754545052417393,0.20007523362018903,0.32878816784312154,0.20014028524666824,0.00900163666121113,0.02482358938584959,0.052677561928255734,0.01718494271685761,0.07028814301336941,0.41620160784770166,0.11114318706697458,0.8760822615400968,0.009550840689818912,0.5213137950102462,0.11237905966412716,0.8876209403358728,0.8210343675727376,0.6090813433226425,0.42378347330500443,0.4863774763731266,0.17307545148454237,0.027225548145531325,0.020349112090322825,0.034462140406178426,0.01840080294412847,0.6276184315560571,0.41365179588877554,0.6187888871557566,0.12096464245306046,0.46092653252222743,0.39144516137536506,0.3812111128442435,0.5256686986790622,0.11175574664307188,0.09805730376685995,0.06168237972767252,0.032806548870710744,0.17849305047549377,0.08266276517922458,0.10383033019829858,0.2849201807584303,0.3398815972640202,0.5075711924973555,0.21679117099612905,0.12195362483744411,0.06141787552643894,0.37798350526474067,0.5513028630271809,0.2951590481953605,0.29326548120418033,0.418303676187052
08001007802,0.31347765443626013,0.3936814254169187,0.5577342047930284,0.19825708061002179,0.211641214009311,0.1385515069725596,0.32026143790849676,0.3325118754241223,0.21389232369624525,0.4576393281326868,0.391666778049552,0.22242971262579106,0.04647785039941903,0.0,0.03926831065222654,0.017429193899782137,0.041169545549885465,0.5032546796233673,0.22906793048973143,0.33628798244396413,0.32404659609336933,0.7377537473392223,0.12602274106876793,0.8739772589312321,0.7362268734460137,0.47597164353672244,0.7123469225467847,0.2654908840298227,0.14867620032161727,0.033074506851497355,0.05642285680040751,0.1791540767358092,0.0420594557715529,0.4802153326260364,0.2189838520798313,0.48666001412976845,0.0843377436910324,0.4422177688710755,0.5037756263701112,0.5133399858702317,0.6479090303653197,0.11704230797061697,0.08734061367963533,0.08665527053724636,0.03943752483870695,0.2480719794344473,0.012210796915167094,0.25494414821925193,0.04944439837465793,0.2071198464091634,0.12453591111686486,0.3962218409448911,0.2323609414685764,0.3046195045748717,0.2880463592358259,0.2504675591928951,0.2172059081158449,0.24164992933125046,0.29850702313646216
08001007900,0.32215097177690694,0.06128471147188462,0.2663341645885287,0.2513715710723192,0.3258689026226704,0.4813714701101497,0.11997279528451599,0.3866955561914885,0.14689762081283278,0.19235781513957045,0.4946529382066307,0.39330245814036335,0.07032418952618454,0.055474428682392385,0.03852687122772778,0.028428927680798004,0.22408641707542237,0.4149385643716603,0.16757246376811594,0.10296809623430964,0.18729683055668428,0.7002577056542152,0.3049674105970793,0.6950325894029207,0.4434935935112261,0.3541025867396487,0.6233729769048919,0.28691166989039324,0.45423824533753615,0.1323916854495367,0.13326960633158597,0.46237592085298623,0.15904254132765766,0.46313612659593595,0.2984963323950266,0.4696162205483071,0.10913800153083408,0.5340766049271714,0.5208248592435751,0.5303837794516929,0.6471155695557537,0.11548126191878803,0.0892187330424994,0.06275787712537836,0.024882260953885443,0.5507900677200903,0.03160270880361174,0.17087862920219613,0.14978974004223403,0.26310921888542826,0.27468210533153614,0.1075129706854795,0.02352011923713122,0.059476712821435,0.09733434207449673,0.16051526141549421,0.16907505563114922,0.028007552598453517,0.08917360693265468
08001008000,0.12923177083333334,0.2258747178329571,0.10937500000000001,0.216796875,0.2754189311594203,0.5224095394736842,0.04847301136363636,0.2662952527322404,0.1643581081081081,0.6389396421370968,0.26864455521472397,0.3125,0.087890625,0.1250768442622951,0.08717039049919484,0.0234375,0.3135758115404025,0.35528822118579173,0.15048632776656265,0.17678572936879133,0.13964664698830104,0.5808629226881445,0.5876152268239737,0.4123847731760263,0.27291937788891524,0.26285129283009295,0.8855121289362236,0.36312262102141374,0.3423392889421659,0.07366082269967819,0.10214543383330169,0.6403702229210271,0.09747617280142784,0.2932630430082062,0.3651832784233319,0.41953742061099547,0.08793837403041045,0.41431822159986,0.5788917295123797,0.5804625793890045,0.6934771745730536,0.2968231552608941,0.2807647139108502,0.2902785448000563,0.16760408750196643,0.6464803312629399,0.07246376811594203,0.018837402635912586,0.19910839511120015,0.39200539874728096,0.0852003180064644,0.023282728957681912,0.031279810749422855,0.41996324172938915,0.14867624494790607,0.650253239132197,0.18442508684975295,0.14410117276387185,0.5699174543011181
08001008100,0.5487868821202154,0.09767555365749496,0.04504504504504505,0.13513513513513514,0.20467569018293652,0.20221030747346536,0.1031941031941032,0.32082902574705857,0.4264426588750913,0.563583745035358,0.38587667422023253,0.16473616473616473,0.04054054054054054,0.2631615221779156,0.06185896040968505,0.04504504504504505,0.5873733060939184,0.251628940555604,0.07042253521126761,0.5350115570222824,0.2847615286735992,0.06002997641561419,0.11371593820629242,0.8862840617937076,0.08723247078898357,0.08352673652624423,0.21988748853155635,0.23754494093477144,0.4107837239310874,0.4054637989362741,0.6167198886432491,0.8853648798683008,0.6253532254802449,0.11345996732026144,0.01579088759939824,0.11152949245541836,0.22322286263208455,0.7111111111111111,0.8782942097026604,0.8884705075445817,0.875441250630358,0.17537104185722377,0.17186735193343122,0.1577947052349507,0.13452663502109705,0.014891179839633447,0.0,0.020844136250047603,0.12117559028932491,0.0,0.009547001573998534,0.07425811552340918,0.8700746789546182,0.13706487341772153,0.3359918462766564,0.5919541839363728,0.17568316290768152,0.10561708860759493,0.2890790304020194
08001008200,0.07898330967436659,0.04652162210109686,0.22357723577235775,0.10772357723577236,0.0,0.2775254270761331,0.24057649667405767,0.5252876627126927,0.14609609609609608,0.2799632835038028,0.38256272133273483,0.4367015098722416,0.12059620596205962,0.2626060686836376,0.20933977455716585,0.03861788617886179,0.2161201702677046,0.3871132688738228,0.10337120506612031,0.24717286826357104,0.13556536921022902,0.6822141016459469,0.7695769831944179,0.2304230168055821,0.2512616484879423,0.47531404153472073,0.7559395863163524,0.40112948276213584,0.3838195534624106,0.07932130836499196,0.060327427674366454,0.5194734340871014,0.0795871773538183,0.4325078312782555,0.23480181000432843,0.48129135183272964,0.07477321257842813,0.4314795692580027,0.5008641018555647,0.5187086481672704,0.6537719159841988,0.13249058345321166,0.11934043525190842,0.09888990662377696,0.0696716031078853,0.9716981132075472,0.008176100628930818,0.0,0.0,0.0,0.0,0.0,0.020969887440602023,0.11478523802139867,0.2595429977969907,0.17912269218295945,0.29964724475627613,0.1345557450767561,0.29037896711804645
08001008308,0.27977845886069963,0.06030504981475851,0.1823599523241955,0.12514898688915377,0.38377007364414734,0.8861764294296757,0.30035756853396905,0.39292678637722506,0.3291080114679638,0.1703304625322004,0.4012226065210556,0.2274816958964754,0.06853396901072706,0.06628499970691103,0.10894900185981701,0.019666269368295592,0.2024611708448264,0.38880396688357033,0.16419590917620566,0.11187306213495118,0.33524902534711326,0.745289526613613,0.5238344757382101,0.47616552426179004,0.35061804967993554,0.4107447107461032,0.7480065236776647,0.32794386821232463,0.32759360947280414,0.08441305231073232,0.1195254264265061,0.49119212420861996,0.11495699811246075,0.5689768112144635,0.4294948287271654,0.6035258260944971,0.10417000956335885,0.46565016275483984,0.37425022983541123,0.3964741739055028,0.5323950685503843,0.14447568724288015,0.11400008603780078,0.09570765190488607,0.0540490281334915,0.2448,0.032,0.11063734015345268,0.061548387096774196,0.22631111111111113,0.13112997601918464,0.09525649202733484,0.027785100858797682,0.13751507840772015,0.17794047709608626,0.16852487549670422,0.21983181786799033,0.13547590326842437,0.18327814059165473
08001008309,0.06513268528772405,0.14319017426792113,0.3824289405684755,0.21188630490956076,0.3765244853886579,0.5123183629915576,0.06906272022551092,0.021033309329153784,0.1857345717810834,0.39448056458559083,0.6266546186648912,0.4724990771502399,0.0103359173126615,0.09580209259965265,0.09536589729826443,0.01937984496124031,0.15721384651172166,0.19766944368828987,0.12828162291169448,0.13062831407715123,0.22700912274440702,1.0,0.7078873358877057,0.2921126641122945,0.31480604039474314,0.5810907908335703,0.823134791620635,0.33666579624724885,0.20655234122099117,0.06171057865832297,0.03679387224729859,0.4071901362545238,0.05357779509686249,0.5532386550535604,0.3496800492470682,0.5627936713762145,0.09564107899953125,0.4116216873328471,0.42524458689897726,0.4372063286237855,0.5736627857577152,0.09473790353901727,0.08316276638701185,0.06928568122796293,0.027362299839656292,0.17656631407648496,0.05126118795768918,0.0,0.22692524738182104,0.03714899767572003,0.0,0.04951856334483097,0.0,0.24815361890694243,0.2562569955479852,0.28923006089971226,0.16865819215835334,0.09859675036927622,0.19276002027228978
08001008354,0.0963235388014149,0.08140939146352758,0.17377312952534194,0.0,0.06806813809507152,0.17605961807172799,0.26263438894171,0.3045091858670852,0.04654388902176512,0.1495990449744375,0.0669762942416181,0.6711872198597862,0.12308930008045052,0.42029463355446234,0.38115669974077054,0.024135156878519713,0.2364914064167677,0.7532724680862941,0.09976176295413935,0.25778070728492003,0.26601281359064416,0.30403325252288,0.6965602143109583,0.30343978568904173,0.15473219860649953,0.1215000736425644,0.5201111006496564,0.459923593338526,0.2836096755670399,0.39702373891151627,0.11531820788911949,0.8137354688190568,0.35236435405271527,0.4269484808454425,0.2988795740081611,0.5082531761175529,0.06889016632467765,0.41611624834874505,0.5138199341358587,0.4917468238824469,0.6046820697194315,0.14732689592031928,0.13848427888896,0.09320018614663941,0.058979482634650436,0.5912361020274689,0.0,0.0,0.0,0.1036321690633684,0.4428912723320363,0.17478572950295798,0.0,0.05294585987261147,0.139230791300855,0.30134606592387997,0.12915335380402085,0.14762473460721867,0.12987513308552964
08001008355,0.06489048708728343,0.03721505648506387,0.027459954233409613,0.41189931350114417,0.285040736687339,0.22150010654165778,0.1179529852298731,0.2654312188168211,0.24070752674871665,0.2895890234000148,0.5425306397495473,0.38966982674076495,0.08695652173913043,0.1561841167423191,0.1679269061121613,0.021453089244851262,0.3270227619842123,0.3069120489361018,0.13100992113965912,0.11310163074542127,0.3366483047523044,0.6370298446321104,0.6965602143109583,0.30343978568904173,0.19127282176288257,0.2545437543271085,0.7400267752031471,0.5401862974651328,0.48986652876280534,0.08447215437766371,0.08294788775824853,0.7029146778916147,0.09555960507677086,0.4213433392374382,0.13513596360816243,0.40356723601573047,0.06879775481030523,0.49009508716323297,0.5703650588156515,0.5964327639842696,0.6783435749033184,0.18312906408164104,0.13089320496799012,0.10917457694675474,0.07455766414572008,0.965864577504197,0.02965864577504197,0.01629271936993089,0.0,0.0,0.0,0.0,0.0,0.26933867735470945,0.10346579043973834,0.25648642417578515,0.2026247935610635,0.12930861723446896,0.26413530874064844
